"DAT_EMISSAO","TipoVeiculo","QTD_CHASSI","VALOR_TOTAL_NF"
"1990-02-12","Motocicleta",1,110000
"1991-01-01","Automóvel",1,2500000
"1991-01-12","Automóvel",1,111111
"1991-01-15","Motocicleta",1,320000
"1991-01-24","Automóvel",1,8608.13
"1991-02-14","Motocicleta",1,586460
"1991-03-22","Motocicleta",1,1985
"1991-05-15","Motocicleta",1,900000
"1991-08-19","Motocicleta",1,3210
"1991-10-14","Caminhão",1,22672018.65
"1991-10-26","Caminhão",1,18915965.84
"1992-01-01","Motocicleta",1,151300
"1992-01-01","Caminhão",1,5
"1992-02-28","Motocicleta",1,4300000
"1992-03-12","Caminhão",1,67411557.19
"1992-04-02","Motocicleta",1,4900000
"1992-07-11","Outros",1,40824.8
"1992-08-07","Automóvel",1,31000000
"1992-10-02","Automóvel",1,134261288.21
"1992-10-22","Caminhonete",1,81357.3
"1992-11-20","Motocicleta",1,21000000
"1992-11-20","Motocicleta",1,18000000
"1992-11-27","Motocicleta",1,24000000
"1992-12-18","Caminhonete",1,258000000
"1993-01-15","Caminhão",1,646915.67
"1993-03-12","Outros",1,7000
"1993-05-13","Motocicleta",2,60001500
"1993-06-04","Motocicleta",1,22882599.93
"1993-09-21","Outros",1,2120000
"1993-09-22","Motocicleta",1,310000
"1993-09-29","Motocicleta",1,450000
"1993-10-19","Motocicleta",1,1567.98
"1993-11-09","Motocicleta",1,1200
"1993-11-11","Motocicleta",1,450000
"1993-11-30","Motocicleta",1,600000
"1993-12-14","Motocicleta",1,550000
"1993-12-16","Motocicleta",1,750000
"1993-12-17","Motocicleta",1,7500000
"1993-12-18","Motocicleta",1,3496
"1993-12-22","Motocicleta",1,898771.47
"1993-12-30","Motocicleta",1,730000
"1994-01-04","Motocicleta",1,890000
"1994-01-21","Automóvel",1,450000
"1994-01-28","Motocicleta",1,1206500
"1994-02-07","Motocicleta",1,1100000
"1994-02-28","Motocicleta",1,1844000
"1994-02-28","Automóvel",1,20398400
"1994-03-01","Motocicleta",1,1540000
"1994-03-01","Caminhão",1,29589422.5
"1994-03-07","Motocicleta",1,1600000
"1994-03-11","Motocicleta",2,3684000
"1994-03-17","Motocicleta",1,2641000
"1994-03-21","Motocicleta",1,2196200
"1994-04-05","Motocicleta",1,2400000
"1994-04-11","Outros",1,30500000
"1994-04-19","Motocicleta",1,2500000
"1994-04-22","Motocicleta",2,9081024.41
"1994-04-23","Motocicleta",1,3140000
"1994-05-02","Motocicleta",1,2800000
"1994-05-31","Motocicleta",1,4183116.11
"1994-06-01","Motocicleta",1,5680000
"1994-06-20","Motocicleta",2,6558319.07
"1994-06-21","Motocicleta",1,6555914.7
"1994-07-01","Motocicleta",1,1927.27
"1994-07-05","Motocicleta",1,2800
"1994-07-11","Motocicleta",1,1723
"1994-07-14","Motocicleta",1,1801.01
"1994-08-01","Motocicleta",1,2980.68
"1994-08-02","Motocicleta",1,2533.61
"1994-08-03","Automóvel",1,1251.2
"1994-08-12","Motocicleta",1,2980.68
"1994-08-26","Motocicleta",1,6853751.23
"1994-08-29","Motocicleta",1,2980.68
"1994-09-06","Motocicleta",1,3280
"1994-09-22",,1,10000
"1994-09-26","Motocicleta",1,2980.68
"1994-10-05","Motocicleta",1,2980.68
"1994-10-07","Motocicleta",1,2980.68
"1994-10-10","Motocicleta",2,5960.68
"1994-10-15","Motocicleta",1,2893.86
"1994-10-18","Motocicleta",2,5946.889999999999
"1994-10-22","Motocicleta",1,2981.4
"1994-10-25","Motocicleta",1,2980.68
"1994-10-26","Motocicleta",1,2980.68
"1994-10-28","Motocicleta",1,3350
"1994-10-29","Motocicleta",1,2186
"1994-11-01","Motocicleta",1,2800
"1994-11-10","Motocicleta",2,8672.869999999999
"1994-11-11","Motocicleta",2,5961.4
"1994-11-11","Automóvel",1,29000
"1994-11-14","Motocicleta",1,2373.91
"1994-11-14","Motocicleta",2,5960.68
"1994-11-22","Motocicleta",2,5730.68
"1994-11-24","Motocicleta",1,2970
"1994-11-29","Motocicleta",1,5500
"1994-11-30","Motocicleta",1,3400
"1994-12-10","Motocicleta",1,2980.68
"1994-12-12","Motocicleta",1,2981
"1994-12-20","Motocicleta",1,2700
"1994-12-26","Motocicleta",1,2980
"1995-01-07","Motocicleta",1,2980
"1995-01-09","Motocicleta",1,2980.68
"1995-01-25","Motocicleta",1,3337
"1995-01-26","Motocicleta",1,4515.22
"1995-02-13","Motocicleta",1,3337
"1995-02-17","Motocicleta",2,4747.82
"1995-03-03","Motocicleta",1,3400
"1995-03-07","Motocicleta",1,3337
"1995-03-09","Motocicleta",1,2920
"1995-03-11","Motocicleta",1,2811
"1995-03-14","Motocicleta",1,3337
"1995-03-20","Motocicleta",1,2370
"1995-03-22","Motocicleta",1,3000
"1995-03-23","Automóvel",1,16369
"1995-03-27","Caminhão",1,29767.16
