"TipoVeiculo","Montadora","NUM_EXERCICIO","QTD_CHASSI"
"Motocicleta","HONDA",2019,1362494
"Motocicleta","HONDA",2021,1351850
"Motocicleta","HONDA",2018,1348752
"Motocicleta","HONDA",2020,1347838
"Motocicleta","HONDA",2017,1314203
"Motocicleta","HONDA",2016,1273454
"Motocicleta","HONDA",2015,1185832
"Motocicleta","HONDA",2014,1084784
"Motocicleta","HONDA",2012,1083965
"Motocicleta","HONDA",2013,1081625
"Motocicleta","HONDA",2011,1067783
"Motocicleta","HONDA",2010,1021782
"Motocicleta","HONDA",2009,689462
"Motocicleta","HONDA",2008,689462
"Motocicleta","HONDA",2007,637276
"Motocicleta","HONDA",2006,636673
"Motocicleta","HONDA",2005,451955
"Motocicleta","HONDA",2004,317564
"Automóvel","VW",2013,285502
"Automóvel","FIAT",2018,281668
"Automóvel","VW",2014,281196
"Automóvel","VW",2011,280463
"Automóvel","FIAT",2019,280339
"Motocicleta","HONDA",2003,278927
"Automóvel","VW",2010,278921
"Automóvel","FIAT",2013,278056
"Automóvel","FIAT",2014,277835
"Automóvel","FIAT",2017,277216
"Automóvel","VW",2012,276218
"Automóvel","VW",2009,274561
"Motocicleta","HONDA",2002,269098
"Automóvel","FIAT",2015,265346
"Automóvel","FIAT",2016,264368
"Automóvel","FIAT",2021,262182
"Automóvel","FIAT",2012,260103
"Automóvel","FIAT",2020,259369
"Motocicleta","HONDA",2001,256231
"Motocicleta","HONDA",2000,252935
"Automóvel","VW",2008,252377
"Automóvel","VW",2015,250324
"Automóvel","FIAT",2011,249412
"Automóvel","VW",2016,249309
"Automóvel","VW",2007,248074
"Automóvel","VW",2006,247445
"Automóvel","VW",2005,242072
"Automóvel","VW",2004,240469
"Automóvel","VW",2017,232766
"Automóvel","VW",2019,228112
"Automóvel","VW",2003,227583
"Automóvel","VW",2018,226900
"Automóvel","VW",2020,226150
"Automóvel","FIAT",2010,213347
"Automóvel","VW",2002,206130
"Automóvel","VW",2001,204798
"Automóvel","VW",2021,203656
"Automóvel","VW",2000,202700
"Automóvel","FIAT",2009,193792
"Motocicleta","HONDA",2020,184643
"Motocicleta","HONDA",2019,183776
"Motocicleta","HONDA",2021,183246
"Motocicleta","HONDA",2018,182331
"Motocicleta","HONDA",2017,181959
"Automóvel","GM",2009,180554
"Automóvel","GM",2008,180483
"Automóvel","GM",2007,179104
"Automóvel","FIAT",2007,171469
"Automóvel","GM",2006,171220
"Automóvel","GM",2005,170129
"Automóvel","FIAT",2008,168094
"Automóvel","FIAT",2006,167516
"Motocicleta","HONDA",1999,162683
"Motocicleta","HONDA",0,162683
"Automóvel","GM",2010,162481
"Motocicleta","HONDA",1998,162346
"Motocicleta","HONDA",1997,155348
"Motocicleta","HONDA",1996,155348
"Motocicleta","HONDA",1995,155348
"Automóvel","VW",1999,151195
"Automóvel","GM",2011,147255
"Automóvel","VW",1998,140991
"Motocicleta","HONDA",2016,138122
"Motocicleta","HONDA",2014,137425
"Motocicleta","HONDA",2015,137422
"Automóvel","GM",2012,135046
"Motocicleta","HONDA",2013,134409
"Automóvel","GM",2013,133567
"Automóvel","GM",2014,133491
"Automóvel","FIAT",2005,128173
"Motocicleta","HONDA",2012,127680
"Automóvel","GM",2015,124533
"Automóvel","GM",2016,122789
"Motocicleta","HONDA",2011,122707
"Motocicleta","HONDA",2010,122707
"Automóvel","FIAT",2004,121543
"Motocicleta","HONDA",2009,121384
"Motocicleta","HONDA",2008,121384
"Motocicleta","HONDA",2007,121383
"Automóvel","GM",2017,120658
"Automóvel","VW",1997,120430
"Motocicleta","HONDA",2006,119635
"Automóvel","Importado",2014,115859
"Automóvel","Importado",2013,114952
"Automóvel","FIAT",2003,114392
"Automóvel","GM",2004,113197
"Automóvel","GM",2003,113095
"Motocicleta","YAMAHA",2019,107526
"Motocicleta","YAMAHA",2020,107329
"Motocicleta","YAMAHA",2021,107000
